                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2038,                 3.3832,                 1.6513,                0.19661,                0.37679,                0.18692,                0.09364,                 2.0649,                 3.1082,                 1.7592,             0.00047407,             0.00047407,             0.00047407
                      2,                 2.1038,                 2.7276,                 1.5885,                0.24062,                0.23493,                0.16332,                0.06937,                 2.2448,                 3.3077,                 1.9655,             0.00088767,             0.00088767,             0.00088767
                      3,                 2.0224,                 2.5444,                 1.5882,                0.28319,                0.38653,                0.22952,                0.10368,                 2.0955,                 3.0488,                  1.997,              0.0012384,              0.0012384,              0.0012384
                      4,                 1.9778,                 2.4053,                 1.5303,                0.36009,                0.38234,                0.26025,                0.12108,                 1.9978,                 2.7708,                 1.8278,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.9647,                 2.3808,                 1.5552,                0.34111,                0.39596,                0.26378,                0.11515,                 2.0117,                 2.6723,                 1.8497,              0.0010517,              0.0010517,              0.0010517
                      6,                 1.9738,                 2.4698,                  1.683,                0.34972,                0.35885,                0.27788,                0.14762,                  1.915,                 2.5581,                  1.805,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.9309,                 2.3467,                 1.6628,                0.31694,                0.44148,                0.30056,                0.14559,                  1.912,                 2.4656,                 1.8026,             0.00086312,             0.00086312,             0.00086312
                      8,                 1.8891,                 2.2765,                 1.6305,                0.31536,                0.48161,                0.30585,                0.15036,                 1.9438,                 2.4774,                 1.7952,              0.0007688,              0.0007688,              0.0007688
                      9,                 1.8293,                 2.1755,                 1.5803,                0.33911,                0.45786,                0.32493,                0.17097,                 1.8836,                 2.2755,                 1.7495,             0.00067449,             0.00067449,             0.00067449
                     10,                 1.7908,                 2.1077,                 1.5587,                0.34453,                0.49746,                0.36026,                0.18997,                 1.9047,                 2.2196,                 1.7308,             0.00058017,             0.00058017,             0.00058017
                     11,                 1.7291,                  2.033,                 1.5022,                0.35414,                0.45298,                0.36137,                 0.1988,                 1.8026,                  2.219,                 1.6752,             0.00048586,             0.00048586,             0.00048586
                     12,                 1.7099,                 1.9774,                 1.4996,                0.35153,                0.53705,                 0.3664,                0.20307,                 1.7897,                 2.1327,                 1.6867,             0.00039155,             0.00039155,             0.00039155
                     13,                 1.6432,                 1.9076,                 1.4641,                0.34351,                0.53544,                0.36225,                0.20021,                 1.8172,                 2.0905,                 1.6793,             0.00029723,             0.00029723,             0.00029723
                     14,                 1.6235,                 1.8726,                 1.4583,                0.44063,                0.47164,                0.40348,                0.22146,                 1.7717,                 2.0518,                 1.6443,             0.00020292,             0.00020292,             0.00020292
                     15,                 1.5884,                 1.8411,                 1.4326,                0.38621,                0.51587,                 0.3823,                0.21419,                 1.7519,                 2.0725,                 1.6326,              0.0001086,              0.0001086,              0.0001086
